gene_name,type,new_locus,old_locus
STM14_RS11355, protein_coding, STM14_RS11355, STM14_2518
STM14_RS11360, protein_coding, STM14_RS11360, STM14_2519
cbiD, protein_coding, STM14_RS11365, STM14_2520
STM14_RS11370, protein_coding, STM14_RS11370, STM14_2521
cbiB, protein_coding, STM14_RS11375, STM14_2522
STM14_RS11380, protein_coding, STM14_RS11380, STM14_2523
pocR, protein_coding, STM14_RS11385, STM14_2525
pduF, protein_coding, STM14_RS11390, STM14_2526
pduA, protein_coding, STM14_RS11395, STM14_2527
pduB, protein_coding, STM14_RS11400, STM14_2528
pduC, protein_coding, STM14_RS11405, STM14_2529
pduD, protein_coding, STM14_RS11410, STM14_2530
pduE, protein_coding, STM14_RS11415, STM14_2531
pduG, protein_coding, STM14_RS11420, STM14_2532
pduH, protein_coding, STM14_RS11425, STM14_2533
pduJ, protein_coding, STM14_RS11430, STM14_2534
pduK, protein_coding, STM14_RS11435, STM14_2535
pduL, protein_coding, STM14_RS11440, STM14_2536
pduM, protein_coding, STM14_RS11445, STM14_2537
pduN, protein_coding, STM14_RS11450, STM14_2538
pduO, protein_coding, STM14_RS11455, STM14_2539
pduP, protein_coding, STM14_RS11460, STM14_2540
pduQ, protein_coding, STM14_RS11465, STM14_2541
pduS, protein_coding, STM14_RS11470, STM14_2542
pduT, protein_coding, STM14_RS11475, STM14_2543
pduU, protein_coding, STM14_RS11480, STM14_2544
pduV, protein_coding, STM14_RS11485, STM14_2545
pduW, protein_coding, STM14_RS11490, STM14_2546
pduX, protein_coding, STM14_RS11495, STM14_2547
STM14_RS11500, protein_coding, STM14_RS11500, STM14_2548
STM14_RS11505, protein_coding, STM14_RS11505, STM14_2550
sbmC, protein_coding, STM14_RS11510, STM14_2551
dacD, protein_coding, STM14_RS11515, STM14_2552
STM14_RS11520, protein_coding, STM14_RS11520, STM14_2553
phsB, protein_coding, STM14_RS11525, STM14_2554
phsA, protein_coding, STM14_RS11530, STM14_2555
STM14_RS25010, pseudogene, STM14_RS25010,
sopA, protein_coding, STM14_RS11535, STM14_2557
STM14_RS26810, pseudogene, STM14_RS26810,
sbcB, protein_coding, STM14_RS11540, STM14_2559
plaP, protein_coding, STM14_RS11545, STM14_2560
yoeI, protein_coding, STM14_RS26370,
STM14_RS11550, protein_coding, STM14_RS11550, STM14_2563
STM14_RS11555, protein_coding, STM14_RS11555, STM14_2564
hisL, protein_coding, STM14_RS26375,
hisG, protein_coding, STM14_RS11560, STM14_2565
hisD, protein_coding, STM14_RS11565, STM14_2566
hisC, protein_coding, STM14_RS11570, STM14_2567
hisB, protein_coding, STM14_RS11575, STM14_2568
hisH, protein_coding, STM14_RS11580, STM14_2569
hisA, protein_coding, STM14_RS11585, STM14_2570
hisF, protein_coding, STM14_RS11590, STM14_2571
hisIE, protein_coding, STM14_RS11595, STM14_2572
wzzB, protein_coding, STM14_RS11600, STM14_2573
ugd, protein_coding, STM14_RS11605, STM14_2574
gndA, protein_coding, STM14_RS11610, STM14_2575
STM14_RS11615, protein_coding, STM14_RS11615, STM14_2576
rfbK, protein_coding, STM14_RS11620, STM14_2577
STM14_RS11625, protein_coding, STM14_RS11625, STM14_2578
rfbN, protein_coding, STM14_RS11630, STM14_2579
STM14_RS11635, protein_coding, STM14_RS11635, STM14_2580
rfbV, protein_coding, STM14_RS11640, STM14_2581
STM14_RS11645, protein_coding, STM14_RS11645, STM14_2582
STM14_RS11650, protein_coding, STM14_RS11650, STM14_2583
rfbH, protein_coding, STM14_RS11655, STM14_2584
rfbG, protein_coding, STM14_RS11660, STM14_2585
rfbF, protein_coding, STM14_RS11665, STM14_2586
STM14_RS11670, protein_coding, STM14_RS11670, STM14_2587
rfbC, protein_coding, STM14_RS11675, STM14_2588
rfbA, protein_coding, STM14_RS11680, STM14_2589
rfbD, protein_coding, STM14_RS11685, STM14_2590
rfbB, protein_coding, STM14_RS11690, STM14_2591
galF, protein_coding, STM14_RS11695, STM14_2592
wcaM, protein_coding, STM14_RS11700, STM14_2593
wcaL, protein_coding, STM14_RS11705, STM14_2594
wcaK, protein_coding, STM14_RS11710, STM14_2595
wzxC, protein_coding, STM14_RS11715, STM14_2596
wcaJ, protein_coding, STM14_RS11720, STM14_2597
cpsG, protein_coding, STM14_RS11725, STM14_2598
cpsB, protein_coding, STM14_RS11730, STM14_2600
wcaI, protein_coding, STM14_RS11735, STM14_2601
STM14_RS11740, protein_coding, STM14_RS11740, STM14_2602
STM14_RS11745, protein_coding, STM14_RS11745, STM14_2603
gmd, protein_coding, STM14_RS11750, STM14_2604
wcaF, protein_coding, STM14_RS11755, STM14_2605
wcaE, protein_coding, STM14_RS11760, STM14_2606
wcaD, protein_coding, STM14_RS11765, STM14_2607
wcaC, protein_coding, STM14_RS11770, STM14_2608
wcaB, protein_coding, STM14_RS11775, STM14_2609
wcaA, protein_coding, STM14_RS11780, STM14_2610
wzc, protein_coding, STM14_RS11785, STM14_2611
wzb, protein_coding, STM14_RS11790, STM14_2612
STM14_RS11795, protein_coding, STM14_RS11795, STM14_2613
STM14_RS11800, protein_coding, STM14_RS11800, STM14_2615
asmA, protein_coding, STM14_RS11805, STM14_2616
dcd, protein_coding, STM14_RS11810, STM14_2617
udk, protein_coding, STM14_RS11815, STM14_2618
STM14_RS11820, protein_coding, STM14_RS11820, STM14_2620
alkA, protein_coding, STM14_RS11825, STM14_2621
yegD, protein_coding, STM14_RS11830, STM14_2622
STM14_RS26380, protein_coding, STM14_RS26380,
mdtA, protein_coding, STM14_RS11835, STM14_2624
mdtB, protein_coding, STM14_RS11840, STM14_2625
mdtC, protein_coding, STM14_RS11845, STM14_2626
STM14_RS11850, protein_coding, STM14_RS11850, STM14_2627
baeS, protein_coding, STM14_RS11855, STM14_2628
baeR, protein_coding, STM14_RS11860, STM14_2629
STM14_RS11865, protein_coding, STM14_RS11865, STM14_2631
STM14_RS11870, protein_coding, STM14_RS11870, STM14_2632
STM14_RS11875, protein_coding, STM14_RS11875, STM14_2633
yegQ, protein_coding, STM14_RS11880, STM14_2634
sseK2, protein_coding, STM14_RS11885, STM14_2636
STM14_RS11890, protein_coding, STM14_RS11890, STM14_2637
steD, protein_coding, STM14_RS11895, STM14_2638
yegS, protein_coding, STM14_RS11905, STM14_2641
fbaB, protein_coding, STM14_RS11910, STM14_2642
STM14_RS11915, protein_coding, STM14_RS11915, STM14_2643
STM14_RS11920, protein_coding, STM14_RS11920, STM14_2644
STM14_RS11925, protein_coding, STM14_RS11925, STM14_2645
STM14_RS11930, protein_coding, STM14_RS11930, STM14_2646
thiD, protein_coding, STM14_RS11935, STM14_2647
thiM, protein_coding, STM14_RS11940, STM14_2648
rcnB, protein_coding, STM14_RS11945, STM14_2650
STM14_RS11950, protein_coding, STM14_RS11950, STM14_2652
STM14_RS11955, protein_coding, STM14_RS11955, STM14_2653
stcB, protein_coding, STM14_RS11960, STM14_2654
yehD, protein_coding, STM14_RS11965, STM14_2655
STM14_RS11970, protein_coding, STM14_RS11970, STM14_2656
apbC, protein_coding, STM14_RS11975, STM14_2657
metG, protein_coding, STM14_RS11980, STM14_2658
STM14_RS11985, protein_coding, STM14_RS11985, STM14_2659
STM14_RS11990, protein_coding, STM14_RS11990, STM14_2660
STM14_RS11995, protein_coding, STM14_RS11995, STM14_2661
btsR, protein_coding, STM14_RS12000, STM14_2662
STM14_RS12005, protein_coding, STM14_RS12005, STM14_2663
mlrA, protein_coding, STM14_RS12010, STM14_2664
STM14_RS12015, protein_coding, STM14_RS12015, STM14_2665
STM14_RS12020, protein_coding, STM14_RS12020, STM14_2666
STM14_RS12025, protein_coding, STM14_RS12025, STM14_2667
STM14_RS12030, protein_coding, STM14_RS12030, STM14_2668
STM14_RS12035, protein_coding, STM14_RS12035, STM14_2669
bglX, protein_coding, STM14_RS12040, STM14_2670
dld, protein_coding, STM14_RS12045, STM14_2672
pbpG, protein_coding, STM14_RS12050, STM14_2673
STM14_RS12055, protein_coding, STM14_RS12055, STM14_2675
STM14_RS12060, protein_coding, STM14_RS12060, STM14_2677
STM14_RS12065, protein_coding, STM14_RS12065, STM14_2678
mdtQ, protein_coding, STM14_RS12070, STM14_2679
STM14_RS25045, protein_coding, STM14_RS25045,
dusC, protein_coding, STM14_RS12075, STM14_2681
STM14_RS12080, protein_coding, STM14_RS12080, STM14_2682
maiA, protein_coding, STM14_RS12085, STM14_2683
STM14_RS12090, protein_coding, STM14_RS12090, STM14_2684
gtdA, protein_coding, STM14_RS12095, STM14_2685
STM14_RS12100, protein_coding, STM14_RS12100, STM14_2686
STM14_RS12105, protein_coding, STM14_RS12105, STM14_2687
STM14_RS12110, protein_coding, STM14_RS12110, STM14_2688
STM14_RS12115, protein_coding, STM14_RS12115, STM14_2689
cdd, protein_coding, STM14_RS12120, STM14_2690
sanA, protein_coding, STM14_RS12125, STM14_2691
STM14_RS12130, protein_coding, STM14_RS12130, STM14_2692
STM14_RS12135, protein_coding, STM14_RS12135, STM14_2693
preA, protein_coding, STM14_RS12140, STM14_2694
mglC, protein_coding, STM14_RS12145, STM14_2695
mglA, protein_coding, STM14_RS12150, STM14_2696
mglB, protein_coding, STM14_RS12155, STM14_2698
galS, protein_coding, STM14_RS12160, STM14_2700
yeiB, protein_coding, STM14_RS12165, STM14_2702
folE, protein_coding, STM14_RS12170, STM14_2703
fghA, protein_coding, STM14_RS12175, STM14_2707
STM14_RS12180, protein_coding, STM14_RS12180, STM14_2708
STM14_RS12185, protein_coding, STM14_RS12185, STM14_2709
serB, protein_coding, STM14_RS12190, STM14_2711
STM14_RS12195, protein_coding, STM14_RS12195, STM14_2712
cirA, protein_coding, STM14_RS12200, STM14_2713
lysP, protein_coding, STM14_RS12205, STM14_2715
yieE, protein_coding, STM14_RS12210, STM14_2717
STM14_RS12215, protein_coding, STM14_RS12215, STM14_2719
nfo, protein_coding, STM14_RS12220, STM14_2720
fruA, protein_coding, STM14_RS12225, STM14_2721
fruK, protein_coding, STM14_RS12230, STM14_2722
fruB, protein_coding, STM14_RS12235, STM14_2723
setB, protein_coding, STM14_RS12240, STM14_2727
STM14_RS12245, protein_coding, STM14_RS12245, STM14_2728
STM14_RS12250, protein_coding, STM14_RS12250, STM14_2729
STM14_RS12255, protein_coding, STM14_RS12255, STM14_2731
yeiP, protein_coding, STM14_RS12260, STM14_2733
STM14_RS12265, protein_coding, STM14_RS12265, STM14_2734
STM14_RS12270, protein_coding, STM14_RS12270, STM14_2735
mepS, protein_coding, STM14_RS12275, STM14_2737
STM14_RS12280, protein_coding, STM14_RS12280, STM14_2739
STM14_RS12285, protein_coding, STM14_RS12285, STM14_2740
STM14_RS12290, protein_coding, STM14_RS12290, STM14_2741
STM14_RS12295, protein_coding, STM14_RS12295, STM14_2742
yejF, protein_coding, STM14_RS12300, STM14_2743
STM14_RS12305, protein_coding, STM14_RS12305, STM14_2744
STM14_RS12315, protein_coding, STM14_RS12315, STM14_2746
rsuA, protein_coding, STM14_RS12320, STM14_2747
STM14_RS12325, protein_coding, STM14_RS12325, STM14_2748
rplY, protein_coding, STM14_RS12330, STM14_2749
STM14_RS12335, protein_coding, STM14_RS12335, STM14_2751
yejK, protein_coding, STM14_RS12340, STM14_2752
STM14_RS12345, protein_coding, STM14_RS12345, STM14_2753
yejM, protein_coding, STM14_RS12350, STM14_2754
STM14_RS12355, tRNA, STM14_RS12355, STM14_2755
STM14_RS12360, protein_coding, STM14_RS12360, STM14_2756
STM14_RS12365, protein_coding, STM14_RS12365, STM14_2757
STM14_RS12370, protein_coding, STM14_RS12370, STM14_2758
STM14_RS12375, protein_coding, STM14_RS12375, STM14_2759
STM14_RS12380, protein_coding, STM14_RS12380, STM14_2760
STM14_RS12385, protein_coding, STM14_RS12385, STM14_2761
STM14_RS26390, pseudogene, STM14_RS26390,
STM14_RS12390, pseudogene, STM14_RS12390, STM14_2762
STM14_RS12395, protein_coding, STM14_RS12395, STM14_2763
STM14_RS12400, protein_coding, STM14_RS12400, STM14_2765
STM14_RS12405, protein_coding, STM14_RS12405, STM14_2766
STM14_RS12410, protein_coding, STM14_RS12410, STM14_2767
STM14_RS12415, pseudogene, STM14_RS12415, STM14_2768
sspH2, protein_coding, STM14_RS12420, STM14_2769
STM14_RS26075, protein_coding, STM14_RS26075, STM14_2770
STM14_RS12430, protein_coding, STM14_RS12430, STM14_2771
STM14_RS12435, protein_coding, STM14_RS12435,
pagL, protein_coding, STM14_RS12440, STM14_2773
narP, protein_coding, STM14_RS12445, STM14_2775
STM14_RS12450, protein_coding, STM14_RS12450, STM14_2776
dsbE, protein_coding, STM14_RS12455, STM14_2777
STM14_RS12460, protein_coding, STM14_RS12460, STM14_2778
ccmE, protein_coding, STM14_RS12465, STM14_2779
ccmD, protein_coding, STM14_RS12470, STM14_2780
STM14_RS12475, protein_coding, STM14_RS12475, STM14_2781
ccmB, protein_coding, STM14_RS12480, STM14_2782
ccmA, protein_coding, STM14_RS12485, STM14_2783
napC, protein_coding, STM14_RS12490, STM14_2784
napB, protein_coding, STM14_RS12495, STM14_2785
napH, protein_coding, STM14_RS12500, STM14_2786
napG, protein_coding, STM14_RS12505, STM14_2787
napA, protein_coding, STM14_RS12510, STM14_2788
napD, protein_coding, STM14_RS12515, STM14_2789
napF, protein_coding, STM14_RS12520, STM14_2790
eco, protein_coding, STM14_RS12525, STM14_2792
STM14_RS12530, protein_coding, STM14_RS12530, STM14_2793
alkB, protein_coding, STM14_RS12535, STM14_2794
ada, protein_coding, STM14_RS12540, STM14_2795
apbE, protein_coding, STM14_RS12545, STM14_2796
STM14_RS12550, protein_coding, STM14_RS12550, STM14_2797
rcsD, protein_coding, STM14_RS12555, STM14_2800
rcsB, protein_coding, STM14_RS12560, STM14_2801
rcsC, protein_coding, STM14_RS12565, STM14_2802
gyrA, protein_coding, STM14_RS12570, STM14_2804
STM14_RS12575, protein_coding, STM14_RS12575, STM14_2807
STM14_RS12580, protein_coding, STM14_RS12580, STM14_2808
STM14_RS12585, protein_coding, STM14_RS12585, STM14_2809
STM14_RS12590, protein_coding, STM14_RS12590, STM14_2810
nrdA, protein_coding, STM14_RS12595, STM14_2812
nrdB, protein_coding, STM14_RS12600, STM14_2813
yfaE, protein_coding, STM14_RS12605, STM14_2814
STM14_RS12610, protein_coding, STM14_RS12610, STM14_2815
STM14_RS12615, protein_coding, STM14_RS12615, STM14_2816
glpQ, protein_coding, STM14_RS12620, STM14_2817
glpT, protein_coding, STM14_RS12625, STM14_2818
glpA, protein_coding, STM14_RS12630, STM14_2819
glpB, protein_coding, STM14_RS12635, STM14_2820
glpC, protein_coding, STM14_RS12640, STM14_2821
sseL, protein_coding, STM14_RS12650, STM14_2824
STM14_RS26085, protein_coding, STM14_RS26085, STM14_2825
yfaU, protein_coding, STM14_RS12655, STM14_2826
STM14_RS12660, protein_coding, STM14_RS12660, STM14_2827
rhmD, protein_coding, STM14_RS12665, STM14_2828
STM14_RS12670, protein_coding, STM14_RS12670, STM14_2829
STM14_RS12675, protein_coding, STM14_RS12675, STM14_2830
STM14_RS12680, protein_coding, STM14_RS12680, STM14_2831
nudI, protein_coding, STM14_RS12685, STM14_2832
pmrG, protein_coding, STM14_RS12690, STM14_2833
arnB, protein_coding, STM14_RS12695, STM14_2835
arnC, protein_coding, STM14_RS12700, STM14_2836
arnA, protein_coding, STM14_RS12705, STM14_2837
arnD, protein_coding, STM14_RS12710, STM14_2838
arnT, protein_coding, STM14_RS12715, STM14_2839
arnE, protein_coding, STM14_RS12720, STM14_2840
arnF, protein_coding, STM14_RS12725, STM14_2841
pmrD, protein_coding, STM14_RS12730, STM14_2842
menE, protein_coding, STM14_RS12735, STM14_2843
menC, protein_coding, STM14_RS12740, STM14_2844
menB, protein_coding, STM14_RS12745, STM14_2845
menH, protein_coding, STM14_RS12750, STM14_2846
menD, protein_coding, STM14_RS12755, STM14_2847
menF, protein_coding, STM14_RS12760, STM14_2848
elaB, protein_coding, STM14_RS12765, STM14_2849
STM14_RS12770, protein_coding, STM14_RS12770, STM14_2850
rbn, protein_coding, STM14_RS12775, STM14_2851
STM14_RS12780, protein_coding, STM14_RS12780, STM14_2852
STM14_RS12785, protein_coding, STM14_RS12785, STM14_2853
STM14_RS26395, protein_coding, STM14_RS26395, STM14_2855
nuoN, protein_coding, STM14_RS12790, STM14_2857
nuoM, protein_coding, STM14_RS12795, STM14_2858
nuoL, protein_coding, STM14_RS12800, STM14_2859
nuoK, protein_coding, STM14_RS12805, STM14_2860
nuoJ, protein_coding, STM14_RS12810, STM14_2861
nuoI, protein_coding, STM14_RS12815, STM14_2862
nuoH, protein_coding, STM14_RS12820, STM14_2863
nuoG, protein_coding, STM14_RS12825, STM14_2864
nuoF, protein_coding, STM14_RS12830, STM14_2865
nuoE, protein_coding, STM14_RS12835, STM14_2866
nuoC, protein_coding, STM14_RS12840, STM14_2867
nuoB, protein_coding, STM14_RS12845, STM14_2868
nuoA, protein_coding, STM14_RS12850, STM14_2869
STM14_RS12855, protein_coding, STM14_RS12855, STM14_2872
lrhA, protein_coding, STM14_RS12860, STM14_2873
alaA, protein_coding, STM14_RS12865, STM14_2874
yfbR, protein_coding, STM14_RS12870, STM14_2875
STM14_RS12875, protein_coding, STM14_RS12875, STM14_2876
STM14_RS12880, protein_coding, STM14_RS12880, STM14_2877
STM14_RS12885, protein_coding, STM14_RS12885, STM14_2878
yfbV, protein_coding, STM14_RS12890, STM14_2879
ackA, protein_coding, STM14_RS12895, STM14_2882
pta, protein_coding, STM14_RS12900, STM14_2883
yfcC, protein_coding, STM14_RS12905, STM14_2884
STM14_RS12910, protein_coding, STM14_RS12910, STM14_2885
STM14_RS12915, protein_coding, STM14_RS12915, STM14_2886
STM14_RS12920, protein_coding, STM14_RS12920, STM14_2887
STM14_RS12925, protein_coding, STM14_RS12925, STM14_2888
STM14_RS12930, protein_coding, STM14_RS12930, STM14_2889
STM14_RS12940, protein_coding, STM14_RS12940, STM14_2891
yfcD, protein_coding, STM14_RS12945, STM14_2892
yfcE, protein_coding, STM14_RS12950, STM14_2893
yfcF, protein_coding, STM14_RS12955, STM14_2894
yfcG, protein_coding, STM14_RS12960, STM14_2895
STM14_RS12965, protein_coding, STM14_RS12965, STM14_2896
hisP, protein_coding, STM14_RS12970, STM14_2897
hisM, protein_coding, STM14_RS12975, STM14_2898
STM14_RS12980, protein_coding, STM14_RS12980, STM14_2899
hisJ, protein_coding, STM14_RS12985, STM14_2900
argT, protein_coding, STM14_RS12990, STM14_2901
STM14_RS12995, protein_coding, STM14_RS12995, STM14_2903
STM14_RS13000, protein_coding, STM14_RS13000, STM14_2904
STM14_RS13005, protein_coding, STM14_RS13005, STM14_2905
STM14_RS13010, protein_coding, STM14_RS13010, STM14_2906
STM14_RS13015, protein_coding, STM14_RS13015, STM14_2907
STM14_RS13020, protein_coding, STM14_RS13020, STM14_2908
purF, protein_coding, STM14_RS13025, STM14_2909
cvpA, protein_coding, STM14_RS13030, STM14_2910
dedD, protein_coding, STM14_RS13035, STM14_2912
folC, protein_coding, STM14_RS13040, STM14_2913
accD, protein_coding, STM14_RS13045, STM14_2914
STM14_RS13050, protein_coding, STM14_RS13050, STM14_2915
truA, protein_coding, STM14_RS13055, STM14_2916
STM14_RS13060, protein_coding, STM14_RS13060, STM14_2917
pdxB, protein_coding, STM14_RS13065, STM14_2918
flk, protein_coding, STM14_RS13070, STM14_2919
STM14_RS13075, protein_coding, STM14_RS13075, STM14_2920
STM14_RS13080, protein_coding, STM14_RS13080, STM14_2922
STM14_RS13085, protein_coding, STM14_RS13085, STM14_2923
STM14_RS13090, protein_coding, STM14_RS13090, STM14_2924
STM14_RS13095, protein_coding, STM14_RS13095, STM14_2925
STM14_RS13100, protein_coding, STM14_RS13100, STM14_2926
fabB, protein_coding, STM14_RS13105, STM14_2927
mnmC, protein_coding, STM14_RS13110, STM14_2928
STM14_RS13115, protein_coding, STM14_RS13115, STM14_2929
STM14_RS13120, protein_coding, STM14_RS13120, STM14_2930
STM14_RS13125, protein_coding, STM14_RS13125, STM14_2931
mepA, protein_coding, STM14_RS13130, STM14_2932
aroC, protein_coding, STM14_RS13135, STM14_2933
prmB, protein_coding, STM14_RS13140, STM14_2934
smrB, protein_coding, STM14_RS13145, STM14_2935
sixA, protein_coding, STM14_RS13150, STM14_2936
fadJ, protein_coding, STM14_RS13155, STM14_2937
fadI, protein_coding, STM14_RS13160, STM14_2938
STM14_RS13165, protein_coding, STM14_RS13165, STM14_2939
fadL, protein_coding, STM14_RS13170, STM14_2942
mlaA, protein_coding, STM14_RS13175, STM14_2943
STM14_RS13180, protein_coding, STM14_RS13180, STM14_2944
STM14_RS13185, tRNA, STM14_RS13185, STM14_2945
pgtE, protein_coding, STM14_RS13190, STM14_2946
pgtA, protein_coding, STM14_RS13195, STM14_2947
pgtB, protein_coding, STM14_RS13200, STM14_2948
pgtC, protein_coding, STM14_RS13205, STM14_2949
pgtP, protein_coding, STM14_RS13215, STM14_2950
STM14_RS13220, protein_coding, STM14_RS13220, STM14_2951
lpxP, protein_coding, STM14_RS13230, STM14_2953
ypdK, protein_coding, STM14_RS26405,
alaC, protein_coding, STM14_RS13235, STM14_2954
glk, protein_coding, STM14_RS13240, STM14_2956
STM14_RS13245, protein_coding, STM14_RS13245, STM14_2957
STM14_RS13250, protein_coding, STM14_RS13250, STM14_2958
mgrA, protein_coding, STM14_RS13255, STM14_2960
ypeC, protein_coding, STM14_RS13260, STM14_2961
STM14_RS13265, protein_coding, STM14_RS13265, STM14_2962
nupC, protein_coding, STM14_RS13270, STM14_2963
STM14_RS13275, protein_coding, STM14_RS13275, STM14_2964
STM14_RS13280, tRNA, STM14_RS13280, STM14_2965
STM14_RS13285, tRNA, STM14_RS13285, STM14_2966
STM14_RS13290, protein_coding, STM14_RS13290, STM14_2967
STM14_RS13295, protein_coding, STM14_RS13295, STM14_2968
gltX, protein_coding, STM14_RS13300, STM14_2969
STM14_RS13305, tRNA, STM14_RS13305, STM14_2970
STM14_RS13310, tRNA, STM14_RS13310, STM14_2971
STM14_RS13315, tRNA, STM14_RS13315, STM14_2972
STM14_RS13320, tRNA, STM14_RS13320, STM14_2973
STM14_RS13325, protein_coding, STM14_RS13325, STM14_2974
STM14_RS13330, protein_coding, STM14_RS13330, STM14_2975
STM14_RS13335, protein_coding, STM14_RS13335, STM14_2976
xapA, protein_coding, STM14_RS13340, STM14_2977
STM14_RS13345, protein_coding, STM14_RS13345, STM14_2978
STM14_RS13350, protein_coding, STM14_RS13350, STM14_2979
STM14_RS13355, protein_coding, STM14_RS13355, STM14_2980
STM14_RS13360, protein_coding, STM14_RS13360, STM14_2981
ligA, protein_coding, STM14_RS13365, STM14_2982
zipA, protein_coding, STM14_RS13370, STM14_2983
cysZ, protein_coding, STM14_RS13375, STM14_2984
cysK, protein_coding, STM14_RS13380, STM14_2985
ptsH, protein_coding, STM14_RS13390, STM14_2989
ptsI, protein_coding, STM14_RS13395, STM14_2990
crr, protein_coding, STM14_RS13400, STM14_2991
STM14_RS13405, protein_coding, STM14_RS13405, STM14_2992
pdxK, protein_coding, STM14_RS13410, STM14_2993
ptsJ, protein_coding, STM14_RS13415, STM14_2994
STM14_RS13420, protein_coding, STM14_RS13420, STM14_2995
STM14_RS13425, protein_coding, STM14_RS13425, STM14_2996
STM14_RS13430, protein_coding, STM14_RS13430, STM14_2997
cysM, protein_coding, STM14_RS13435, STM14_2998
cysA, protein_coding, STM14_RS13440, STM14_2999
cysW, protein_coding, STM14_RS13445, STM14_3000
cysT, protein_coding, STM14_RS13450, STM14_3001
cysP, protein_coding, STM14_RS13455, STM14_3002
ucpA, protein_coding, STM14_RS13460, STM14_3003
yfeX, protein_coding, STM14_RS13465, STM14_3004
STM14_RS13470, protein_coding, STM14_RS13470, STM14_3005
STM14_RS13475, protein_coding, STM14_RS13475, STM14_3006
STM14_RS13480, protein_coding, STM14_RS13480, STM14_3007
amiA, protein_coding, STM14_RS13485, STM14_3008
hemF, protein_coding, STM14_RS13490, STM14_3009
STM14_RS13495, protein_coding, STM14_RS13495, STM14_3010
STM14_RS13500, protein_coding, STM14_RS13500, STM14_3011
eutR, protein_coding, STM14_RS13505, STM14_3012
eutK, protein_coding, STM14_RS13510, STM14_3013
eutL, protein_coding, STM14_RS13515, STM14_3014
eutC, protein_coding, STM14_RS13520, STM14_3015
eutB, protein_coding, STM14_RS13525, STM14_3016
eutA, protein_coding, STM14_RS13530, STM14_3017
eutH, protein_coding, STM14_RS13535, STM14_3018
eutG, protein_coding, STM14_RS13540, STM14_3019
eutJ, protein_coding, STM14_RS13545, STM14_3020
STM14_RS13550, protein_coding, STM14_RS13550, STM14_3021
eutN, protein_coding, STM14_RS13555, STM14_3022
eutM, protein_coding, STM14_RS13560, STM14_3023
pta, protein_coding, STM14_RS13565, STM14_3024
eutT, protein_coding, STM14_RS13570, STM14_3025
eutQ, protein_coding, STM14_RS13575, STM14_3026
eutP, protein_coding, STM14_RS13580, STM14_3027
eutS, protein_coding, STM14_RS13585, STM14_3028
tnpA, protein_coding, STM14_RS13590, STM14_3029
maeB, protein_coding, STM14_RS13595, STM14_3031
tal, protein_coding, STM14_RS13600, STM14_3033
tkt, protein_coding, STM14_RS13605, STM14_3034
STM14_RS13610, protein_coding, STM14_RS13610, STM14_3035
STM14_RS13615, protein_coding, STM14_RS13615, STM14_3037
nudK, protein_coding, STM14_RS13620, STM14_3038
pbp4b, protein_coding, STM14_RS13625, STM14_3039
aegA, protein_coding, STM14_RS13630, STM14_3041
narQ, protein_coding, STM14_RS13635, STM14_3042
acrD, protein_coding, STM14_RS13640, STM14_3044
ypfM, protein_coding, STM14_RS26410,
STM14_RS13645, protein_coding, STM14_RS13645, STM14_3045
dapE, protein_coding, STM14_RS13650, STM14_3046
STM14_RS13655, protein_coding, STM14_RS13655, STM14_3047
tmcA, protein_coding, STM14_RS13660, STM14_3048
STM14_RS13665, protein_coding, STM14_RS13665, STM14_3049
STM14_RS13670, protein_coding, STM14_RS13670, STM14_3050
bamC, protein_coding, STM14_RS13675, STM14_3051
dapA, protein_coding, STM14_RS13680, STM14_3052
STM14_RS13685, protein_coding, STM14_RS13685, STM14_3053
bcp, protein_coding, STM14_RS13690, STM14_3054
STM14_RS13695, pseudogene, STM14_RS13695, STM14_3055
STM14_RS13700, protein_coding, STM14_RS13700, STM14_3057
bepA, protein_coding, STM14_RS13705, STM14_3058
arsC, protein_coding, STM14_RS13710, STM14_3059
STM14_RS13715, protein_coding, STM14_RS13715, STM14_3060
uraA, protein_coding, STM14_RS13720, STM14_3061
upp, protein_coding, STM14_RS13725, STM14_3062
purM, protein_coding, STM14_RS13730, STM14_3064
purN, protein_coding, STM14_RS13735, STM14_3065
ppk1, protein_coding, STM14_RS13740, STM14_3066
ppx, protein_coding, STM14_RS13745, STM14_3067
STM14_RS13750, protein_coding, STM14_RS13750, STM14_3068
STM14_RS13755, protein_coding, STM14_RS13755, STM14_3069
STM14_RS13760, protein_coding, STM14_RS13760, STM14_3071
STM14_RS25140, protein_coding, STM14_RS25140, STM14_3072
STM14_RS13765, protein_coding, STM14_RS13765, STM14_3073
STM14_RS13770, pseudogene, STM14_RS13770, STM14_3074
guaA, protein_coding, STM14_RS13775, STM14_3075
guaB, protein_coding, STM14_RS13780, STM14_3076
xseA, protein_coding, STM14_RS13785, STM14_3077
shdA, pseudogene, STM14_RS13790, STM14_3078
STM14_RS25155, pseudogene, STM14_RS25155, STM14_3081
ratB, pseudogene, STM14_RS13795, STM14_3082
ratA, protein_coding, STM14_RS13800, STM14_3083
STM14_RS13805, protein_coding, STM14_RS13805, STM14_3084
sinH, protein_coding, STM14_RS13810, STM14_3085
STM14_RS13815, protein_coding, STM14_RS13815, STM14_3088
der, protein_coding, STM14_RS13820, STM14_3089
